	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0123	1249.67476452661	1008.21555756555	942.750959348276	989.592286703877	779.41454872911	949.123991915185
gene-b0124	952.71141500571	880.571500662471	687.736322847251	504.610281732473	620.889555767257	718.283846215944
gene-b0125	2763.19428940822	3468.81349232562	3927.62699996854	3696.65879000126	4258.55776547523	4995.00975984029
gene-b0126	3628.69341961039	4240.71505265169	5353.29937725773	4106.39906738857	4675.28634545828	4283.93966817744
gene-b0127	2043.416951536	1242.80463511716	1527.07583511047	2461.71304378402	2691.32203960237	2638.17309370562
gene-b0128	1534.49463135334	2053.51688842051	1356.39674768852	1746.09878687006	2248.17262745901	2164.12636593039
gene-b0129	553.080439070522	1015.97769616101	663.6404516818	621.56209743384	882.69598353759	566.795000600816
gene-b0130	675.61921898435	806.399954083654	910.623131127674	779.406156387434	918.724391028921	1016.10885562255
gene-b0131	752.895927038116	971.992244120083	1070.25827759879	1052.56634131231	953.551851603873	796.604609935329
gene-b0132	1495.85627732646	2851.29224406477	1113.43004677022	1232.4922116221	1216.55922629058	1269.62080134583
gene-b0133	7761.89334751465	6356.32904983586	7475.74402908122	7831.68242766639	7980.29225932964	6393.44760677721
gene-b0134	769.455221621066	494.189490577469	1128.48996624863	987.956596973788	1226.16680162161	828.551237241921
gene-b0135	55.1976486098325	76.7589261106366	49.1957369627961	96.5056940752541	62.449239651639	47.4046727775228
gene-b0136	19.8711534995397	45.710371728806	21.0838872697698	49.0706919026716	49.2388235714846	52.5573546011666
gene-b0137	72.860896164979	253.563194118283	49.1957369627961	106.319832455788	58.846398902506	100.992563743418
gene-b0138	16.5592945829498	28.4611748500113	12.0479355827256	41.7100881172708	28.8227259930642	21.6412636593039
gene-b0139	68.4450842761923	58.6472693879021	30.1198389568139	70.3346583938293	87.6691248955702	133.969727414738
gene-b0140	33.1185891658995	31.9110142257703	18.0719033740884	49.8885367677161	52.8416643206177	18.5496545651176
gene-b0141	3.31185891658995	2.58737953181921	5.01997315946899	20.4461216261132	15.6123099129098	9.27482728255881
gene-b0142	733.024773538576	491.60211104565	919.659082814719	1074.64815266851	1091.66074698731	1480.88075611522
gene-b0143	7484.80115149329	3577.48343266203	6664.51636651103	9111.60964146107	9650.80942001099	11598.6867850222
gene-b0144	2316.09333566857	1776.66727851586	2126.46063035106	3286.10066774891	3401.08166718157	3872.75565865067
gene-b0145	12752.8647348157	8496.09192265035	8607.24597922553	19737.0501281196	15936.5655803317	18523.8911559994
gene-b0146	11001.9953209118	14858.4581913938	8661.46168934779	8867.07402681276	10063.9351592449	7747.5723900308
gene-b0147	574.055545542258	617.521248260852	638.540585884455	588.030457967015	666.525538589609	732.711355322146
gene-b0148	5202.93035796282	5549.92909575221	5327.19551682849	5684.8396569245	6260.53627507681	7337.41891686875
gene-b0149	3757.8559173574	2632.22744370408	3753.93592865091	4137.47717226026	5554.37948824674	4587.94789577243
gene-b0150	9463.08487766969	4916.88357030044	8257.85584732649	9218.7473187819	13447.0026226808	18516.6774014463
gene-b0151	1700.08757718284	882.296420350351	1838.31417099754	1720.74559605368	2960.33414887097	3885.12209502741
gene-b0152	748.480115149329	489.014731513831	839.339512263215	617.472873108617	1391.89747608172	1588.05653804701
gene-b0153	2487.20604635905	1959.50876543108	2857.36872236975	2429.81709404729	3685.70608636308	5066.11676900657
gene-b0154	3390.23957761591	1885.33721885226	4084.25016254397	4536.58546640199	4676.48729237466	4431.30636833366
gene-b0155	2156.02015470006	3403.2665441862	1739.92269707195	1649.59309279481	1847.05635738886	1951.83587479627
gene-b4728	1365.58982660726	1476.53125282483	1525.06784584668	2055.2441458569	1578.04424812026	2174.43172957768
gene-b0156	8810.64867110147	14398.7670945739	6901.45909963796	10750.5707510103	8082.37274722175	11179.2584845776
gene-b0157	650.228300623827	472.627994478976	721.87214033164	759.777879626365	795.02685864202	974.887401033404
gene-b0158	536.521144487572	847.798026592761	1114.43404140212	913.532714254736	1113.2777914821	1097.52122843613
gene-b0159	2232.19290978163	1762.86792101282	3552.13300764026	3388.33127587947	3622.05589979506	3682.10643117585
gene-b0160	1204.41269266655	1066.00036710951	904.599163336312	1182.60367485439	1054.4313925796	853.284109995411
gene-b0161	15593.3357322777	13571.6681042357	18394.1856509263	14181.4299598721	13969.4145313051	17587.133600461
gene-b0162	4062.54693768367	2923.73887095571	2953.75220703155	2742.2338324943	2393.4872043407	1984.81303846759
gene-b0163	1236.42732886025	1109.1233593065	1188.72964416226	1307.7339392062	1222.56396087247	892.444491855104
gene-b0164	290.339631687719	200.090683794019	347.382142635254	335.316394668256	338.667030418504	228.779072969784
gene-b0166	1738.72593120973	1064.27544742164	2919.61638954716	2312.04743348088	2484.75916998541	1679.77427450787
gene-b0167	3735.77685791347	2137.17549328267	5493.85862572286	3687.66249648577	5476.31793868219	4784.78034143562
gene-b0168	3592.2629715279	2645.16434136317	7705.6587997849	4594.65245182015	6176.46999093038	6049.24846095781
gene-b4414	6165.57734971829	4015.61303338341	6828.16749150972	6429.89632898007	5817.38686293345	10865.9754297
gene-b0169	142188.038865956	68760.4735179394	190273.046657985	173741.327440329	175287.810020653	270176.749277303
gene-b0170	59803.340409837	18048.6971541269	119954.266634775	74616.0762623374	106182.922558448	122109.284393075
gene-b0171	63672.6955773862	51845.9110585933	74451.2219280846	58047.3571414003	60566.1548867588	109318.267034062
gene-b0172	29207.2837854068	15477.7043593425	29655.993436879	27329.9218551929	25308.7553157431	40233.1702153754
gene-b0173	2274.1431227251	1525.69146392939	3064.19161653987	2776.58331682617	3272.58034712916	4241.68767722356
gene-b0174	3343.87355278366	2474.3972922631	3625.4246157685	4145.6556209107	4693.30054920395	3589.35815835026
gene-b0175	3476.34790944725	3177.30206507399	3794.09571392666	4212.71889984436	4699.30528378584	3993.32841332393
gene-b0176	12472.4606798778	10796.2723264376	12171.4269224485	10941.9464494307	11581.9320615463	12661.1697770575
gene-b0177	72656.6648651226	58581.7224397627	59425.438267162	61872.4175752136	58806.7676542656	63873.6744222531
gene-b0178	16065.8276043779	22261.8134917725	14611.1338779504	14859.423352994	12804.4960224188	13279.4915958948
