Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b1122	3
gene-b1123	684
gene-b1124	127
gene-b1125	240
gene-b1126	309
gene-b1127	11930
gene-b1128	10245
gene-b1129	1305
gene-b1130	1377
gene-b1131	349
gene-b1132	332
gene-b1133	855
gene-b1134	104
gene-b1135	130
gene-b1136	7742
gene-b1137	90
gene-b1138	235
gene-b1139	233
gene-b1140	628
gene-b1141	283
gene-b1142	2554
gene-b1143	2273
gene-b1144	3258
gene-b1145	495
gene-b1146	156
gene-b1147	316
gene-b1148	26
gene-b1149	231
gene-b1150	4
gene-b1151	80
gene-b1153	41
gene-b1154	7
gene-b1155	228
gene-b1156	51
gene-b1158	2
gene-b1159	501
gene-b1160	1
gene-b4738	0
gene-b4739	0
gene-b1161	3
gene-b1162	1176
gene-b1163	413
gene-b1164	4824
gene-b1165	6401
gene-b1166	1530
gene-b1167	1143
gene-b1168	842
gene-b4520	57
gene-b1171	271
gene-b1172	91
gene-b4593	35
gene-b4594	23
gene-b1174	484
gene-b1175	2948
gene-b1176	328
gene-b1177	232
gene-b1178	3650
gene-b1179	1104
gene-b1180	9469
gene-b1181	3461
gene-b1182	148
gene-b1183	586
gene-b1184	1744
gene-b1185	832
gene-b1186	354
gene-b1187	1139
gene-b1188	124095
gene-b1189	28840
gene-b1190	12419
gene-b4740	144
gene-b1191	378
gene-b1192	794
gene-b1193	1875
gene-b1194	572
gene-b1195	8837
gene-b1196	1670
gene-b1197	9111
gene-b1198	2158
gene-b1199	997
gene-b1200	1870
gene-b1201	284
gene-b1202	924
gene-b1203	1176
gene-b1204	398
gene-b1205	126423
gene-b1206	6043
gene-b1207	2166
gene-b1208	1103
gene-b1209	936
gene-b1210	690
gene-b1211	416
gene-b1212	241
gene-b1213	315
gene-b1214	3562
gene-b1215	3063
gene-b4419	53
gene-b4420	65
gene-b4421	0
gene-b4422	0
gene-b4423	21
gene-b4424	7
gene-b1216	275
gene-b1217	871
gene-b1218	5073
gene-b1219	1668
gene-b1220	345
gene-b1221	583
gene-b1222	1766
gene-b1223	1408
gene-b1224	994
gene-b1225	798
gene-b1226	633
gene-b1227	353
gene-b1228	25
gene-b4425	24
gene-b1229	2
gene-b1230	124
gene-b1231	76
gene-b1232	1470
gene-b1233	545
gene-b1234	2436
gene-b1235	17954
gene-b1236	10337
gene-b1237	79028
gene-b1238	144
gene-b1241	300697
gene-b1242	48
gene-b4711	1265
gene-b1243	5818
gene-b1244	516
gene-b1245	1674
gene-b1246	2804
gene-b1247	2411
gene-b1248	1441
gene-b1249	2615
gene-b4595	154
gene-b1250	479
gene-b1251	104
gene-b1252	1580
gene-b1253	132
gene-b1254	10354
gene-b1255	2769
gene-b1256	699
gene-b1257	410
gene-b1258	998
gene-b1259	758
gene-b1260	703
gene-b1261	1384
gene-b1262	1327
gene-b1263	256
gene-b1264	43
gene-b1265	0
gene-b1266	2248
gene-b1267	7296
gene-b1268	2335
gene-b1269	1400
gene-b1270	800
gene-b1271	594
gene-b1272	2734
gene-b1273	531
gene-b1274	12618
gene-b1275	292
gene-b4522	240
gene-b4523	255
gene-b4741	595
gene-b1276	48198
gene-b1277	3218
gene-b1278	916
gene-b1279	1588
gene-b1280	1940
gene-b1281	140
gene-b1282	57
gene-b1283	2757
gene-b1284	684
gene-b4596	154
gene-b1285	8047
gene-b4672	89
gene-b1286	591
gene-b1287	553
gene-b1288	12212
gene-b1289	849
gene-b1290	2394
gene-b1291	4044
gene-b1292	6683
gene-b1293	9266
gene-b1294	5710
gene-b1295	105
gene-b1296	810
gene-b4742	193
gene-b1297	2685
gene-b1298	1918
gene-b1299	3884
gene-b1300	166
gene-b1301	301
gene-b1302	287
gene-b1303	270
gene-b1304	5212
gene-b1305	1640
gene-b1306	2552
gene-b1307	1505
gene-b1308	1433
gene-b1309	30
gene-b1310	9
gene-b1311	32
gene-b1312	45
gene-b1313	90
gene-b1314	144
gene-b1315	43
gene-b1316	71
gene-b1317	123
gene-b1319	7
gene-b1320	18
gene-b1321	4379
gene-b1322	2920
gene-b1323	6053
gene-b1324	4663
gene-b1325	5330
gene-b1326	8662
gene-b4525	74
gene-b4673	46
gene-b1327	228
gene-b1328	356
gene-b1329	2179
gene-b1330	242
gene-b1331	21
gene-b1332	696
gene-b1333	68432
gene-b1334	25872
gene-b1335	70
gene-b1336	79
gene-b1337	346
gene-b1338	199
gene-b1339	344
gene-b4426	164
gene-b1340	1276
gene-b1341	2041
gene-b1342	1653
gene-b4699	48
gene-b4743	109
gene-b1343	366
gene-b1344	1646
gene-b1345	818
gene-b1346	33
gene-b1347	47
gene-b4714	42
gene-b1348	2
gene-b1349	125
gene-b1350	254
gene-b1351	1
gene-b4526	19
gene-b1352	38
gene-b1353	8
gene-b4527	5
gene-b1355	2
gene-b1356	315
gene-b1357	106
gene-b1358	73
gene-b1359	88
gene-b1360	137
gene-b1361	169
gene-b4528	81
gene-b1363	189
gene-b1365	16
gene-b1366	64
