Geneid	1714__ROC_MOXI_N=3_library-read-1.fastq.gz
gene-b1331	21
gene-b1332	993
gene-b1333	7773
gene-b1334	17698
gene-b1335	1030
gene-b1336	155
gene-b1337	159
gene-b1338	139
gene-b1339	687
gene-b4426	97
gene-b1340	605
gene-b1341	436
gene-b1342	395
gene-b4699	50
gene-b4743	20
gene-b1343	939
gene-b1344	3409
gene-b1345	503
gene-b1346	16
gene-b1347	23
gene-b4714	14
gene-b1348	9
gene-b1349	64
gene-b1350	269
gene-b1351	17
gene-b4526	19
gene-b1352	9
gene-b1353	157
gene-b4527	15
gene-b1355	12
gene-b1356	1986
gene-b1357	110
gene-b1358	30
gene-b1359	80
gene-b1360	55
gene-b1361	45
gene-b4528	12
gene-b1363	1034
gene-b1365	28
gene-b1366	69
gene-b1368	67
gene-b1370	247
gene-b1372	216
gene-b1373	0
gene-b1374	55
gene-b1375	140
gene-b4744	317
gene-b1376	978
gene-b1377	37
gene-b4427	654
gene-b1378	10722
gene-b4529	2137
gene-b1379	2454
gene-b1380	3650
gene-b1381	2655
gene-b1382	425
gene-b1383	256
gene-b1384	4402
gene-b1385	470
gene-b1386	133
gene-b1387	237
gene-b1388	492
gene-b1389	102
gene-b1390	354
gene-b1391	164
gene-b1392	184
gene-b1393	107
gene-b1394	92
gene-b1395	303
gene-b1396	36
gene-b1397	2069
gene-b1398	4433
gene-b1399	2353
gene-b1400	917
gene-b4674	0
gene-b1402	43
gene-b1403	6
gene-b1404	38
gene-b1406	2034
gene-b1407	272
gene-b1408	10
gene-b1409	5
gene-b1410	159
gene-b1411	232
gene-b1412	1865
gene-b1413	8011
gene-b1414	1826
gene-b1415	35808
gene-b1418	414
gene-b4597	152
gene-b1419	451
gene-b4428	894
gene-b1420	849
gene-b4429	507
gene-b1421	934
gene-b1422	5103
gene-b1423	304
gene-b1424	6005
gene-b1426	297
gene-b1427	1564
gene-b1428	416
gene-b1429	746
gene-b1430	990
gene-b1431	809
gene-b1432	955
gene-b1433	461
gene-b1434	248
gene-b1435	5823
gene-b1436	359
gene-b4532	316
gene-b1438	599
gene-b1439	790
gene-b1440	86
gene-b1441	48
gene-b1442	61
gene-b1443	135
gene-b1444	438
gene-b4598	343
gene-b1445	391
gene-b1446	900
gene-b1447	628
gene-b1448	317
gene-b1449	1821
gene-b1450	190
gene-b1451	1767
gene-b1452	5852
gene-b1453	247
gene-b1454	27
gene-b1455	1
