Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b1383	187
gene-b1384	556
gene-b1385	1315
gene-b1386	101
gene-b1387	102
gene-b1388	22
gene-b1389	0
gene-b1390	2
gene-b1391	16
gene-b1392	34
gene-b1393	0
gene-b1394	0
gene-b1395	120
gene-b1396	67
gene-b1397	1600
gene-b1398	1802
gene-b1399	987
gene-b1400	651
gene-b4674	0
gene-b1402	89
gene-b1403	43
gene-b1404	13
gene-b1406	1123
gene-b1407	37
gene-b1408	10
gene-b1409	6
gene-b1410	110
gene-b1411	339
gene-b1412	118
gene-b1413	3993
gene-b1414	780
gene-b1415	24781
gene-b1418	270
gene-b4597	45
gene-b1419	877
gene-b4428	3674
gene-b1420	3311
gene-b4429	1471
gene-b1421	513
gene-b1422	856
gene-b1423	1050
gene-b1424	786
gene-b1426	499
gene-b1427	269
gene-b1428	453
gene-b1429	139
gene-b1430	93
gene-b1431	8467
gene-b1432	249
gene-b1433	187
gene-b1434	40
gene-b1435	249
gene-b1436	646
gene-b4532	278
gene-b1438	406
gene-b1439	315
gene-b1440	2764
gene-b1441	1235
gene-b1442	573
gene-b1443	236
gene-b1444	1066
gene-b4598	181
gene-b1445	21
gene-b1446	1150
gene-b1447	535
gene-b1448	178
gene-b1449	795
gene-b1450	240
gene-b1451	162
gene-b1452	2462
gene-b1453	141
gene-b1454	259
gene-b1455	1
gene-b1457	73
gene-b4745	8
gene-b1460	22
gene-b1461	111
gene-b1462	273
gene-b1463	518
gene-b1464	180
gene-b1465	107
gene-b1466	132
gene-b1467	128
gene-b1468	377
gene-b1469	119
gene-b1471	1
gene-b1472	1
gene-b1473	0
gene-b1474	128
gene-b1475	136
gene-b1476	249
gene-b1477	7510
gene-b1478	3770
gene-b1479	1215
gene-b1480	1415
gene-b1481	20
gene-b1482	6998
gene-b1483	308
