Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b1000	15295
gene-b1001	54
gene-b1002	13527
gene-b1003	14345
gene-b1004	15662
gene-b4518	10117
gene-b1006	580
gene-b1007	84
gene-b1008	80
gene-b1009	56
gene-b1010	19
gene-b1011	71
gene-b1012	83
gene-b1013	430
gene-b1014	4714
gene-b4737	20
gene-b1015	1797
gene-b1018	163
gene-b1019	427
gene-b1020	24685
gene-b1021	336
gene-b1022	146
gene-b1023	65
gene-b1024	249
gene-b1025	124
gene-b1026	6
gene-b1027	3
gene-b1029	119
gene-b1032	23
gene-b1033	682
gene-b1034	919
gene-b1035	913
gene-b1036	471
gene-b1037	322
gene-b1038	86
gene-b1039	153
gene-b1040	427
gene-b1041	64
gene-b1042	628
gene-b1043	10
gene-b1044	140
gene-b1045	1674
gene-b1046	4006
gene-b1047	295
gene-b1048	8932
gene-b1049	8196
gene-b1050	5698
gene-b1051	15704
gene-b1053	214
gene-b1054	402
gene-b1055	503
gene-b1056	73
gene-b1057	25
gene-b1058	8
gene-b1059	445
gene-b1060	2210
gene-b1061	38
gene-b1062	336
gene-b1063	1008
gene-b1064	2226
gene-b1065	301
gene-b1066	1034
gene-b1067	2904
gene-b1068	1960
gene-b1069	505
gene-b1070	261
gene-b1071	229
gene-b1072	168
gene-b1073	205
gene-b1074	407
gene-b1075	575
gene-b1076	1578
gene-b1077	400
gene-b1078	558
gene-b1079	245
gene-b1080	102
gene-b1081	93
gene-b1082	390
gene-b1083	527
gene-b1084	7818
gene-b1085	707
gene-b1086	388
gene-b1087	1432
gene-b4418	4051
gene-b1088	20815
gene-b1089	17249
gene-b1090	4231
gene-b1091	5243
gene-b1092	5747
gene-b1093	4122
gene-b1094	10501
gene-b1095	20195
gene-b1096	494
gene-b1097	431
gene-b1098	552
gene-b1099	424
gene-b1100	7573
gene-b1101	10757
gene-b1102	1315
gene-b1103	2683
gene-b1104	970
gene-b1105	1607
gene-b1106	583
gene-b1107	2378
gene-b1108	5599
gene-b1109	1212
gene-b1110	1933
gene-b1111	2144
gene-b1112	1368
gene-b1113	586
gene-b1114	8648
gene-b1115	63
gene-b1116	515
gene-b1117	344
gene-b1118	1428
gene-b1119	1766
gene-b1120	595
gene-b1121	36
gene-b1122	16
gene-b1123	1829
gene-b1124	414
gene-b1125	619
gene-b1126	1096
gene-b1127	3810
gene-b1128	10011
gene-b1129	1263
gene-b1130	1760
gene-b1131	1576
gene-b1132	1112
gene-b1133	4085
gene-b1134	825
gene-b1135	810
gene-b1136	10389
gene-b1137	145
gene-b1138	88
gene-b1139	217
gene-b1140	679
gene-b1141	375
gene-b1142	1358
gene-b1143	1437
gene-b1144	1529
gene-b1145	865
gene-b1146	182
gene-b1147	355
