Geneid	1714__30min_LEVO_N=3_library-read-1.fastq.gz
gene-b1271	692
gene-b1272	4733
gene-b1273	758
gene-b1274	6140
gene-b1275	911
gene-b4522	295
gene-b4523	331
gene-b4741	426
gene-b1276	30641
gene-b1277	9040
gene-b1278	828
gene-b1279	1652
gene-b1280	2972
gene-b1281	172
gene-b1282	111
gene-b1283	5455
gene-b1284	1230
gene-b4596	284
gene-b1285	4739
gene-b4672	134
gene-b1286	1354
gene-b1287	298
gene-b1288	17242
gene-b1289	1068
gene-b1290	3211
gene-b1291	4005
gene-b1292	5813
gene-b1293	7119
gene-b1294	5417
gene-b1295	120
gene-b1296	465
gene-b4742	111
gene-b1297	1185
gene-b1298	1234
gene-b1299	3213
gene-b1300	148
gene-b1301	231
gene-b1302	227
gene-b1303	277
gene-b1304	4433
gene-b1305	1362
gene-b1306	1588
gene-b1307	843
gene-b1308	3052
gene-b1309	20
gene-b1310	54
gene-b1311	71
gene-b1312	26
gene-b1313	72
gene-b1314	135
gene-b1315	95
gene-b1316	67
gene-b1317	42
gene-b1319	33
gene-b1320	38
gene-b1321	8221
gene-b1322	5328
gene-b1323	4515
gene-b1324	6733
gene-b1325	4707
gene-b1326	6735
gene-b4525	23
gene-b4673	42
gene-b1327	147
gene-b1328	276
gene-b1329	1539
gene-b1330	810
gene-b1331	35
gene-b1332	1225
gene-b1333	93572
gene-b1334	33998
gene-b1335	232
gene-b1336	72
gene-b1337	465
gene-b1338	124
gene-b1339	306
gene-b4426	57
gene-b1340	1300
gene-b1341	1862
gene-b1342	858
gene-b4699	122
gene-b4743	39
gene-b1343	248
gene-b1344	1418
gene-b1345	831
gene-b1346	20
gene-b1347	35
gene-b4714	34
gene-b1348	3
gene-b1349	72
gene-b1350	450
gene-b1351	73
gene-b4526	31
gene-b1352	60
gene-b1353	126
gene-b4527	17
gene-b1355	2
gene-b1356	582
gene-b1357	49
gene-b1358	84
gene-b1359	145
gene-b1360	192
gene-b1361	113
gene-b4528	87
gene-b1363	343
gene-b1365	25
gene-b1366	79
gene-b1368	401
gene-b1370	353
gene-b1372	408
gene-b1373	25
gene-b1374	1330
gene-b1375	59
gene-b4744	148
gene-b1376	39235
gene-b1377	172
gene-b4427	7543
gene-b1378	97644
gene-b4529	1647
gene-b1379	2310
gene-b1380	10176
gene-b1381	1496
gene-b1382	365
gene-b1383	427
gene-b1384	904
gene-b1385	1895
gene-b1386	170
gene-b1387	382
gene-b1388	220
gene-b1389	3
gene-b1390	64
gene-b1391	24
gene-b1392	65
gene-b1393	14
gene-b1394	14
gene-b1395	150
gene-b1396	50
gene-b1397	3112
gene-b1398	3070
gene-b1399	2021
gene-b1400	1254
gene-b4674	4
gene-b1402	36
gene-b1403	4
gene-b1404	73
gene-b1406	2640
gene-b1407	246
gene-b1408	8
gene-b1409	17
gene-b1410	65
gene-b1411	280
gene-b1412	754
gene-b1413	6297
gene-b1414	1404
gene-b1415	28778
gene-b1418	257
gene-b4597	151
gene-b1419	1818
gene-b4428	4546
gene-b1420	3819
gene-b4429	1962
gene-b1421	825
gene-b1422	1568
gene-b1423	2439
gene-b1424	1413
gene-b1426	624
gene-b1427	609
gene-b1428	913
gene-b1429	521
gene-b1430	199
gene-b1431	14669
gene-b1432	552
gene-b1433	321
gene-b1434	149
gene-b1435	721
gene-b1436	652
gene-b4532	1009
gene-b1438	1785
gene-b1439	834
gene-b1440	4592
gene-b1441	2036
gene-b1442	688
gene-b1443	605
gene-b1444	1771
gene-b4598	504
gene-b1445	90
gene-b1446	1228
gene-b1447	511
gene-b1448	319
gene-b1449	1956
gene-b1450	291
gene-b1451	336
gene-b1452	3634
gene-b1453	164
gene-b1454	560
gene-b1455	15
gene-b1457	98
gene-b4745	93
gene-b1460	82
