	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0134	9.75188349865362	9.48196253764025	10.2114454974366	10.1042392659792	10.6908083909213	10.5123226519362
gene-b0135	6.80811631486564	6.60875260359027	6.40598060872261	6.18932019915724	6.6438905624909	7.01836054933191
gene-b0136	4.98588198825355	5.47603778860134	4.90978606965299	5.5096822990756	5.45188780799684	5.22531124974481
gene-b0137	7.47711369847036	7.60518243629757	7.48450786996648	7.45393229375705	7.50009321501018	7.48050211808516
gene-b0138	3.14586509630979	3.47291799988512	3.22492607958336	3.13810783955443	3.53280245310149	3.28326906099214
gene-b0139	7.15860353932994	6.99183654226229	7.09802115182657	7.11300911477129	7.44369999251438	7.09426969833796
gene-b0140	3.87980749184086	3.52448720216026	3.34495941191842	3.55618525216863	3.71352198124117	3.40064642576577
gene-b0141	3.22171156443432	2.92677758155724	2.94774307363862	2.93946396495676	3.31911745549964	3.21323877606588
gene-b0142	5.79455874645411	5.89823460779705	5.69397517337684	5.21880254144793	6.87120138573702	6.03707865893408
gene-b0143	9.52595596540753	9.80342801214841	9.96083050196344	9.43358671530187	11.079769263123	10.2422583303978
gene-b0144	10.0816513636015	10.1853408296585	9.80056062742889	10.410837792268	10.2781209249785	10.3052516347633
gene-b0145	14.5073185135152	14.2727165816291	14.2710989010194	14.9051044334401	14.3600676640712	14.425307066666
gene-b0146	15.4981044030465	15.3111857674558	15.3095908451896	15.6469294352354	14.9729812145003	15.1196119085368
gene-b0147	7.00974305243858	6.89188912713252	6.71301177352684	6.76199763197327	7.13319640716708	6.39271335146227
gene-b0148	11.8172257308079	11.7944098161706	11.8398300824857	12.0132903085797	12.0860750628484	12.0077683018075
gene-b0149	11.9544542234114	11.6297674471038	11.8378548186442	12.0428508434624	11.8966329516624	11.8502654580492
gene-b0150	13.3477445598406	13.2495696954628	13.2793114674351	13.5502705552837	13.3047755691732	13.2206227614376
gene-b0151	9.43581036011644	9.35414943257325	9.60926344513936	9.55053742977457	9.90010762267269	9.52388340910625
gene-b0152	6.58726669575849	6.19795920243018	6.88220395516602	7.09523082822683	6.9432913229416	6.20194952914784
gene-b0153	10.1695324029848	10.3007707318454	8.79975113594803	10.4835324880623	9.1783405774073	8.90252300723349
gene-b0154	12.5184854880588	12.0905671449735	12.5982833065906	12.9430098641222	11.9223630244424	12.4056749619916
gene-b0155	12.6149355908258	12.7883818149021	12.6325801166671	12.6727793350174	12.4656190871764	12.6224507646728
gene-b4728	11.8353433466427	11.956299638659	11.8270951368543	12.7962857889627	11.5548620359197	11.8722173799462
gene-b0156	14.0962865247581	14.2987326749654	13.835042955936	14.9623411406876	13.7569546561552	13.9680405005521
gene-b0157	7.81036127093495	8.19053168918729	7.81926527609043	8.9244899276752	8.26459244960859	8.43481136538963
gene-b0158	7.60422700518915	7.93263841849422	7.74211035345673	8.27700774134833	8.38830871831265	8.10919175841981
gene-b0159	11.5633569982999	11.2664436190643	11.7372496548561	12.3452421178155	11.8052518425993	12.0713581524637
gene-b0160	8.80963599569393	8.95010026272577	8.72243118751333	8.79617659985443	8.85871202948068	8.6527921263171
gene-b0161	12.2450269007826	12.0549839081296	12.0346195093405	12.1598914899611	12.3338391999697	12.3545317692558
gene-b0162	9.53615468078513	9.13359071854787	9.39412813723799	8.93928876509682	8.97547248014581	9.32834386377472
gene-b0163	11.1565764232399	11.1551062457096	11.6333371771314	11.4350036727677	11.2087851318533	11.5232090362594
gene-b0164	6.31773058351021	5.59191978590531	6.12613911330823	6.46558564204938	6.53356889629294	6.18476755390444
gene-b0166	9.98862531399446	9.86731834056487	10.1391299191685	10.2217649043364	10.0445913346148	10.1081568730546
gene-b0167	11.0483490051952	11.0991805906372	11.2496896966714	10.9689508137684	11.2252084995719	11.1376481839075
gene-b0168	11.2698447010524	11.1842125453693	11.3100449537254	11.6146041866998	11.5614309076215	11.7758219177322
gene-b4414	11.4256678822623	11.9630368143624	11.1345300336636	11.2363494628587	11.7626883336915	11.3706438416209
gene-b0169	15.6388146922187	16.0820904998639	15.385485894889	15.5636178891623	16.1011061487329	15.6155392505613
gene-b0170	13.3838832126182	13.4406459858324	13.4446259635678	13.2188408120179	14.5067673901487	13.8213358296333
gene-b0171	11.3192998609508	11.6827442692346	11.2438872647333	11.3169695111185	11.6705143617371	11.2717285995649
gene-b0172	14.1985966937159	14.2545577446595	14.3370822280553	14.2381240393054	14.324274808767	14.3113006165986
gene-b0173	10.6293566425919	10.5706398952319	10.7272627676751	10.3735936173424	10.8818274846116	10.6810469709594
gene-b0174	9.13652719122696	9.37584040799806	9.45977201610971	8.84020442827715	9.60390262659959	9.44360150694676
gene-b0175	11.1898999958028	11.0982763358028	11.2159348197564	10.6988443572454	10.9920298326739	11.0205869360365
gene-b0176	11.6210512241631	11.6937539094693	11.7975684693921	11.4694051451702	11.7983079865361	12.0381537618294
gene-b0177	12.733206717157	12.7260953427813	13.078347068591	12.6610986915037	12.6379948979069	12.9335130305448
gene-b0178	13.4123989770611	13.3493886646577	13.8304328709311	13.3741009308429	12.7451007353836	13.3521804188442
gene-b0179	13.6596288336719	13.8468217748106	13.658806461152	13.445404367103	13.0044388705021	13.3535377027677
gene-b0180	12.8028861725616	12.7930136923239	12.527320123114	13.0982010769212	12.7699463988437	12.8310099648563
gene-b0181	12.2396282638405	11.931054379747	12.1722355627763	12.7200228618968	12.3782486069982	12.3667457825038
gene-b0182	10.2168239922058	10.289421632363	10.1093901354006	10.4765080962532	10.6120726207624	10.6272143221478
gene-b0183	6.49353283149572	6.35914194183735	6.9080882444996	6.98826827449972	7.36945589982601	7.17327140966414
gene-b0184	12.3174265870982	12.6146434218513	12.3344299909922	12.0312855973478	12.6516747449246	12.4907742164681
gene-b0185	11.7346143868636	11.5954157987552	11.8982018325276	11.6040048721418	11.8240513483887	11.795883833305
gene-b0186	11.993599389209	12.2932101752522	12.0253322381107	11.4598939798317	11.7406736667393	11.7024688571536
gene-b0187	9.58936390712627	9.81195262177282	9.4365748592794	9.28163971620926	9.04965958699228	9.26137520899428
gene-b0188	9.81336715454463	9.91777749055419	10.0163596912774	9.91480167395128	9.72539779229461	9.70330416494523
gene-b0189	12.6637214096002	12.7871736970067	12.4743548897665	12.9133302771841	12.0673289643113	12.7125073850393
gene-b4406	12.7381857903966	12.6818451324471	12.7236042861938	13.0621557363147	12.1621619063685	12.9362728906931
gene-b0190	8.36208893831495	8.25713790092172	9.01513743244434	8.59639575961052	8.85702848018155	8.93784313177347
gene-b0191	9.65873992300101	9.48811158151884	9.94902975410463	8.72784736465161	9.72904444294488	9.9265724875797
gene-b0192	10.7250082130702	10.5860902155033	11.0867356073869	10.231810730276	10.6608363040822	10.8123847980569
gene-b0193	7.11222829147642	7.18064531408558	7.41233055918849	7.63852883134183	7.47409525367072	7.56396989444309
gene-b0194	13.0586023541421	12.76827361364	13.107678087654	13.2469954985771	13.2043967292216	13.177464664711
gene-b0195	8.20034564019468	8.22348192632181	8.52673806003105	8.30089680273079	8.49260814318804	8.36623517584706
gene-b0196	8.13854378239739	8.13745893470916	8.99587715365744	8.49993305554868	9.2023311864027	9.00746069864738
gene-b0197	9.77331026362755	10.0256138553924	9.97753605518403	9.7575446281308	10.3551288964256	9.96713136992795
gene-b0198	6.56881615100098	6.59081295739323	6.59929384712664	7.23487996799194	7.60317490392091	6.63367978561866
gene-b0199	6.98610795546677	7.34069043919108	7.02491329681707	7.47756777368043	9.06006408027373	7.42402595204222
gene-b0200	8.08926442748678	8.13899036382942	8.24467560290762	8.85279683479895	8.84132838347403	8.97781500540554
